obviously prefers hot places when it rains steam is said to spout from the tip of its tail;FIRE
the flame at the tip of its tail makes a sound as it burns you can only hear it in quiet places;FIRE
the flame on its tail shows the strength of its life force if it is weak the flame also burns weakly;FIRE
the flame on its tail indicates charmander’s life force if it is healthy the flame burns brightly;FIRE
if it’s healthy the flame on the tip of its tail will burn vigorously even if it gets a bit wet;FIRE
the flame that burns at the tip of its tail is an indication of its emotions the flame wavers when charmander is enjoying itself if the pokémon becomes enraged the flame burns fiercely;FIRE
from the time it is born a flame burns at the tip of its tail its life would end if the flame were to go out;FIRE
it has a preference for hot things when it rains steam is said to spout from the tip of its tail;FIRE
the flame that burns at the tip of its tail is an indication of its emotions the flame wavers when charmander is happy and blazes when it is enraged;FIRE
the fire on the tip of its tail is a measure of its life if healthy its tail burns intensely;FIRE
the fire on the tip of its tail is a measure of its life if the pokémon is healthy its tail burns intensely;FIRE
when it swings its burning tail it elevates the temperature to unbearably high levels;FIRE
tough fights could excite this pokémon when excited it may blow out bluish-white flames;FIRE
it is very hotheaded by nature so it constantly seeks opponents it calms down only when it wins;FIRE
it has a barbaric nature in battle it whips its fiery tail around and slashes away with sharp claws;FIRE
if it becomes agitated during battle it spouts intense flames incinerating its surroundings;FIRE
charmeleon mercilessly destroys its foes using its sharp claws if it encounters a strong foe it turns aggressive in this excited state the flame at the tip of its tail flares with a bluish white color;FIRE
it lashes about with its tail to knock down its foe it then tears up the fallen opponent with sharp claws;FIRE
when it swings its burning tail it elevates the air temperature to unbearably high levels;FIRE
without pity its sharp claws destroy foes if it encounters a strong enemy it becomes agitated and the flame on its tail flares with a bluish white color;FIRE
in the rocky mountains where charmeleon live their fiery tails shine at night like stars;FIRE
tough fights could excite this pokémon when excited it may breathe out bluish-white flames;FIRE
at the time of birth it has just one tail the tail splits from its tip as it grows older;FIRE
both its fur and its tails are beautiful as it grows the tails split and form more tails;FIRE
as it develops its single white tail gains color and splits into six it is quite warm and cuddly;FIRE
if it is attacked by an enemy that is stronger than itself it feigns injury to fool the enemy and escapes;FIRE
as its body grows larger its six warm tails become more beautiful with a more luxurious coat of fur;FIRE
at the time of its birth vulpix has one white tail the tail separates into six if this pokémon receives plenty of love from its trainer the six tails become magnificently curled;FIRE
inside vulpix’s body burns a flame that never goes out during the daytime when the temperatures rise this pokémon releases flames from its mouth to prevent its body from growing too hot;FIRE
while young it has six gorgeous tails when it grows several new tails are sprouted;FIRE
when it is born it has just one snow-white tail the tail splits from its tip as it grows older;FIRE
it can freely control fire making fiery orbs fly like will-o’-the-wisps just before evolution its six tails grow hot as if on fire;FIRE
it controls balls of fire as it grows its six tails split from their tips to make more tails;FIRE
as each tail grows its fur becomes more lustrous when held it feels slightly warm;FIRE
its beautiful fur and tails have made it very popular as it grows its tails split to form more tails;FIRE
from its mouth spew flames that seem to resemble the spirits of the deceased some people mistakenly think this fire is a ghost;FIRE
its beautiful tails have made it very popular however if it’s not brushed diligently it will be a mass of tangles before you know it;FIRE
it manipulates balls of fire to catch its prey if you raise one from when it’s young it will grow close to you like a puppy pokémon;FIRE
in its belly burns a fire which vulpix spits out in the form of fireballs when young this pokémon has but one white tail as the pokémon matures this single tail splits into six;FIRE
very smart and very vengeful grabbing one of its many tails could result in a 1000-year curse;FIRE
according to an enduring legend 9 noble saints were united and reincarnated as this pokémon;FIRE
some legends claim that each of its nine tails has its own unique type of special mystical power;FIRE
its nine beautiful tails are filled with a wondrous energy that could keep it alive for 1000 years;FIRE
it is said to live a thousand years and each of its tails is loaded with supernatural powers;FIRE
ninetales casts a sinister light from its bright red eyes to gain total control over its foe’s mind this pokémon is said to live for a thousand years;FIRE
legend has it that ninetales came into being when nine wizards possessing sacred powers merged into one this pokémon is highly intelligent it can understand human speech;FIRE
it has nine long tails and fur that gleams gold it is said to live for 1000 years;FIRE
very smart and very vengeful grabbing one of its many tails could result in a 1000-year curse;FIRE
it has long been said that each of the nine tails embody an enchanted power a long-lived ninetales will have fur that shines like gold;FIRE
its nine tails are said to be imbued with a mystic power it can live for a thousand years;FIRE
each of its nine tails is imbued with supernatural power and it can live for a thousand years;FIRE
legend has it that ninetales came into being when nine wizards possessing sacred powers merged into one this pokémon is highly intelligent—it can understand human speech;FIRE
legend has it that this mystical pokémon was formed when nine saints coalesced into one;FIRE
said to live for a thousand years this pokémon uses its supernatural abilities to manipulate fire it can burn its prey to a crisp as it pleases;FIRE
it is vindictive and relentless by nature those who cross it even once will be cursed for a thousand years along with their descendants;FIRE
the flickering flames it spews from its mouth leave its opponents hypnotized then this extremely intelligent pokémon attacks;FIRE
according to an enduring legend nine noble saints were united and reincarnated as this pokémon;FIRE
it is said to live 1000 years and each of its tails is loaded with supernatural powers;FIRE
its nine tails are said to be imbued with a mystic power the pokémon is said to live for 1000 years;FIRE
the coat of gleaming golden fur is quite magnificent this species is said to store sacred power in its nine long tails and to live for a millennium;FIRE
very protective of its territory it will bark and bite to repel intruders from its space;FIRE
a pokémon with a friendly nature however it will bark fiercely at anything invading its territory;FIRE
it has a brave and trustworthy nature it fearlessly stands up to bigger and stronger foes;FIRE
extremely loyal it will fearlessly bark at any opponent to protect its own trainer from harm;FIRE
it controls a big territory if it detects an unknown smell it roars loudly to force out the intruder;FIRE
growlithe has a superb sense of smell once it smells anything this pokémon won’t forget the scent no matter what it uses its advanced olfactory sense to determine the emotions of other living things;FIRE
very friendly and faithful to people it will try to repel enemies by barking and biting;FIRE
it is very protective of its territory it will bark and bite to repel intruders from its space;FIRE
its superb sense of smell ensures that this pokémon won’t forget any scent no matter what it uses its sense of smell to detect the emotions of others;FIRE
a pokémon with a loyal nature it will remain motionless until it is given an order by its trainer;FIRE
extremely loyal to its trainer it will bark at those who approach the trainer unexpectedly and run them out of town;FIRE
it’s both clever and loyal but if a stranger tries to invade its territory it barks threateningly;FIRE
